PID,Question 1 (5.0 pts),Question 2 (6.0 pts),Question 3 (8.0 pts),Question 4 (6.0 pts),Question 5 (10.0 pts),Question 6 (6.0 pts),Question 7 (10.0 pts),Question 8 (6.0 pts),Question 9 (9.0 pts),Question 10 (10.0 pts),Question 11 (4.0 pts),Question 12 (7.0 pts)
A99856175,3.0,6.0,7.0,6.0,10.0,2.0,7.0,6.0,2.0,10.0,2.0,6.0
A99449376,5.0,6.0,8.0,6.0,10.0,6.0,9.0,6.0,8.0,10.0,4.0,5.0
A99339719,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
A99699336,5.0,6.0,6.0,6.0,9.0,6.0,10.0,3.0,9.0,10.0,3.0,3.0
A99550295,4.0,6.0,8.0,6.0,9.0,3.0,7.0,6.0,9.0,5.0,4.0,4.0
A99156002,5.0,6.0,8.0,6.0,10.0,6.0,9.0,5.0,8.0,10.0,4.0,7.0
A99221018,5.0,6.0,4.0,5.0,7.0,3.0,7.0,5.0,9.0,10.0,4.0,7.0
A99190272,5.0,6.0,8.0,6.0,9.0,6.0,5.0,6.0,9.0,10.0,4.0,6.0
A99330622,5.0,6.0,8.0,6.0,9.0,6.0,8.0,6.0,6.0,10.0,4.0,4.0
A99152694,3.0,3.0,5.0,6.0,7.0,5.0,9.0,6.0,7.0,10.0,3.0,7.0
A99174029,5.0,3.0,5.0,6.0,6.0,1.0,8.0,5.0,7.0,5.0,4.0,1.0
A99043621,5.0,6.0,8.0,6.0,10.0,6.0,10.0,6.0,9.0,10.0,4.0,7.0
